,Custom_Difference,Matched_Rows
"('VT20', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",70.68725817352993,70413
"('VT27', '20180222-57WIooVH-VT__R6F16_RN1RP3')",70.71036936139967,67777
"('VT20', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",70.74280628761043,70068
"('VT23', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.80272310284026,67657
"('VT19', '20180222-57NYooVH-VT__R7F1_RN1RP2')",70.81798250825314,68819
"('VT21', '20180222-57NYooVH-VT__R6F20_RN1RP1')",70.81911193845467,68417
"('VT19', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",70.83307297271443,68879
"('VT25', '20180222-57NYooVH-VT__R6F20_RN1RP1')",70.90127838270081,68045
"('VT20', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",70.91064123959492,70203
"('VT26', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",70.91280233478153,67615
"('VT20', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",70.91475209017601,70479
"('VT27', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",70.99118350499974,68574
"('VT23', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",70.99279155253268,67764
"('VT26', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.99390073823702,67439
"('VT22', '20180222-57WIooVL-VT__R6F17_RN1RP1')",71.01452924223844,67831
"('VT25', '20180222-57WIooVL-VT__R6F18_RN1RP2')",71.11975900510471,67549
"('VT35', '20180222-57WIooVH-VT__R6F15_RN1RP2')",71.14393760704793,63309
"('VT20', '20180222-57NYooVH-VT__R6F20_RN1RP1')",71.17247634809665,69747
"('VT35', '20180222-57NYooVH-VT__R6F20_RN1RP1')",71.26437619178313,64088
"('VT25', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",71.29268098689423,68553
"('VT20', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",71.34583694823488,70142
"('VT27', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",71.4752221506939,68518
"('VT27', '20180222-57WIooVL-VT__R6F18_RN1RP2')",71.48806122519382,67529
"('VT19', '20180222-57WIooVH-VT__R6F16_RN1RP3')",71.51099669718273,68233
"('VT22', '20180222-57WIooVH-VT__R6F15_RN1RP2')",71.52401136852481,67968
"('VT20', '20180222-57WIooVH-VT__R6F14_RN1RP1')",71.61866446668763,69600
"('VT19', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",71.6267517979976,69330
"('VT20', '20180222-57WIooVH-VT__R6F16_RN1RP3')",71.67388311344448,69474
"('VT29', '20180222-57WIooVL-VT__R6F19_RN1RP3')",71.74830497525298,61698
"('VT25', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",71.88074764345909,68997
"('VT25', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",71.89652996310875,69491
"('VT19', '20180222-57WIooVH-VT__R6F15_RN1RP2')",71.91654682924153,68021
"('VT19', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",71.94064737117338,68943
"('VT27', '20180222-57WIooVL-VT__R6F17_RN1RP1')",71.9622025396902,67466
"('VT19', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",71.99098264300912,68990
"('VT21', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",72.00523522281681,69211
"('VT19', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",72.0338661917777,69408
"('VT21', '20180222-57NYooVH-VT__R7F1_RN1RP2')",72.07209487342998,68783
"('VT22', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",72.10339516882581,69377
"('VT20', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",72.1246039527978,70155
"('VT25', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.15669434772805,67490
"('VT21', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",72.28982797387326,68832
"('VT21', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.30671394524157,67930
"('VT23', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",72.33221438677168,67834
"('VT23', '20180222-57WIooVL-VT__R6F19_RN1RP3')",72.3994907823983,66263
"('VT23', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.41491564609089,65882
"('VT24', '20180222-57WIooVL-VT__R6F19_RN1RP3')",72.43324921767142,66423
"('VT21', '20180222-57WIooVH-VT__R6F16_RN1RP3')",72.46450026198953,68111
"('VT19', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.46821743107307,67829
"('VT19', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",72.59634522835906,68900
"('VT20', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.59677624577733,69273
"('VT20', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.68459748083156,69246
"('VT26', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.73061600093592,65495
"('VT26', '20180222-57WIooVL-VT__R6F19_RN1RP3')",72.78533432407718,65915
"('VT25', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.79534176637314,67614
"('VT20', '20180222-57NYooVH-VT__R7F2_RN1RP3')",72.81176311664184,70208
"('VT19', '20180222-57WIooVH-VT__R6F14_RN1RP1')",72.81861086879088,68335
"('VT22', '20180222-57OOooVH-VT__R7F3_RN1RP1')",72.84121010297699,67340
"('VT27', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.8439850879002,67644
"('VT24', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.86969924650873,66052
"('VT25', '20180222-57OOooVH-VT__R7F3_RN1RP1')",72.87766316936286,66862
"('VT19', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.8788043489294,67889
"('VT21', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",73.00959798823618,68906
"('VT21', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",73.02438676664327,69298
"('VT20', '20180222-57WIooVH-VT__R6F15_RN1RP2')",73.05721909058373,69327
"('VT22', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",73.15792547951169,69855
"('VT21', '20180222-57WIooVL-VT__R6F17_RN1RP1')",73.28797488921775,67791
"('VT27', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",73.41471858930389,69017
