,Positive,Negative,Proportion
"('VT12', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76601,2111,0.9731807094216892
"('VT11', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76601,2111,0.9731807094216892
"('VT5', '20180222-24WIooVH-VG__R9F1_RN1RP3')",76600,2112,0.9731680048785446
"('VT10', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76600,2112,0.9731680048785446
"('VT14', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",76599,2113,0.9731553003354
"('VT10', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76599,2113,0.9731553003354
"('VT11', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76599,2113,0.9731553003354
"('VT12', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76599,2113,0.9731553003354
"('VT10', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76597,2115,0.9731298912491106
"('VT11', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76596,2116,0.973117186705966
"('VT1', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76596,2116,0.973117186705966
"('VT11', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76595,2117,0.9731044821628214
"('VT15', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76594,2118,0.9730917776196768
"('VT12', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76594,2118,0.9730917776196768
"('VT14', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",76591,2121,0.973053663990243
"('VT14', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",76591,2121,0.973053663990243
"('VT3', '20180222-24WIooVH-VG__R5F11_RN1RP2')",76591,2121,0.973053663990243
"('VT11', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76590,2122,0.9730409594470982
"('VT12', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76590,2122,0.9730409594470982
"('VT11', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76589,2123,0.9730282549039536
"('VT1', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76588,2124,0.973015550360809
"('VT10', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76587,2125,0.9730028458176644
"('VT11', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76587,2125,0.9730028458176644
"('VT1', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76585,2127,0.9729774367313752
"('VT12', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",76583,2129,0.9729520276450859
"('VT14', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",76582,2130,0.9729393231019412
"('VT3', '20180222-24WIooVH-VG__R5F10_RN1RP1')",76580,2132,0.972913914015652
"('VT11', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76577,2135,0.9728758003862181
"('VT14', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",76575,2137,0.9728503912999289
