,Positive,Negative,Proportion
"('VT3', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",0,2057,0.0
"('VT7', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,2574,0.0
"('VT7', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,2574,0.0
"('VT15', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1920,0.0
"('VT15', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1866,0.0
"('VT15', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1860,0.0
"('VT14', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2085,0.0
"('VT15', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1866,0.0
"('VT15', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2108,0.0
"('VT15', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2257,0.0
"('VT15', '20180222-24WIsaVL-VG__R3F13_RN1RP2')",0,4131,0.0
"('VT8', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",0,2688,0.0
"('VT15', '20180222-24OOsaVH-VG__R3F20_RN1RP3')",0,2409,0.0
"('VT15', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1916,0.0
"('VT8', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2358,0.0
"('VT8', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2243,0.0
"('VT8', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2219,0.0
"('VT8', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2234,0.0
"('VT16', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",0,2522,0.0
"('VT9', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2032,0.0
"('VT16', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2516,0.0
"('VT16', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2452,0.0
"('VT16', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2454,0.0
"('VT16', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2457,0.0
"('VT16', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2463,0.0
"('VT8', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2370,0.0
"('VT15', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2114,0.0
"('VT15', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2119,0.0
"('VT15', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2120,0.0
"('VT14', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,1883,0.0
"('VT9', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2224,0.0
"('VT9', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2228,0.0
"('VT9', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2229,0.0
"('VT9', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2223,0.0
"('VT14', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1893,0.0
"('VT9', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2219,0.0
"('VT9', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2282,0.0
"('VT9', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2294,0.0
"('VT14', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1839,0.0
"('VT14', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1833,0.0
"('VT14', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1839,0.0
"('VT14', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2094,0.0
"('VT14', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2081,0.0
