,Positive,Negative,Proportion
"('VT32', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",8541,54202,0.13612673923784327
"('VT34', '20180222-57OOooVH-VT__R8F11_RN1RP3')",8540,50071,0.1457064373581751
"('VT20', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",8525,61630,0.1215166417219015
"('VT27', '20180222-70OOooVH-VT__R7F4_RN1RP3')",8521,57380,0.1293000106219936
"('VT31', '20180222-57WIooVH-VT__R6F16_RN1RP3')",8519,51273,0.14247725448220497
"('VT34', '20180222-57WIooVH-VT__R6F14_RN1RP1')",8516,52836,0.13880558091015777
"('VT31', '20180222-57WIooVL-VT__R6F17_RN1RP1')",8486,50488,0.14389391935429172
"('VT20', '20180222-57OOooVH-VT__R7F3_RN1RP1')",8480,60328,0.1232414835484246
"('VT27', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",8470,60455,0.12288719622778382
"('VT27', '20180222-57OOooVH-VT__R7F3_RN1RP1')",8419,58430,0.12594055258866999
"('VT19', '20180222-57WIooVL-VT__R6F17_RN1RP1')",8408,59421,0.1239587786934792
"('VT33', '20180222-57WIooVL-VT__R6F19_RN1RP3')",8393,46882,0.1518407960199005
"('VT31', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",8377,54061,0.13416509177103686
"('VT32', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",8360,53337,0.13550091576575846
"('VT27', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",8347,60227,0.12172251873888063
"('VT20', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",8346,61400,0.11966277635993462
"('VT31', '20180222-57NYooVH-VT__R7F1_RN1RP2')",8305,53147,0.1351461303130899
"('VT27', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",8303,60227,0.12115861666423464
"('VT27', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",8295,59955,0.12153846153846154
"('VT21', '20180222-70OOooVH-VT__R7F4_RN1RP3')",8214,57873,0.12429070770348177
"('VT20', '20180222-57WIooVL-VT__R6F18_RN1RP2')",8214,61059,0.11857433632151054
"('VT27', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",8188,60330,0.11950144487579906
"('VT19', '20180222-70OOooVH-VT__R7F4_RN1RP3')",8186,58062,0.12356599444511532
"('VT30', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",8177,51894,0.13612225533119143
"('VT24', '20180222-57WIooVH-VT__R6F15_RN1RP2')",8165,58700,0.12211171764002093
"('VT23', '20180222-57WIooVH-VT__R6F15_RN1RP2')",8139,58656,0.12185043790702897
"('VT22', '20180222-57WIooVH-VT__R6F16_RN1RP3')",8139,59994,0.11945753159262032
"('VT30', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",8097,53424,0.13161359535768274
"('VT25', '20180222-70OOooVH-VT__R7F4_RN1RP3')",8066,57868,0.122334455667789
"('VT25', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",8065,60884,0.11697051443820795
"('VT30', '20180222-57WIsaVL-VT__R6F6_RN1RP3')",8041,52419,0.13299702282500828
"('VT21', '20180222-57OOooVH-VT__R8F11_RN1RP3')",8001,59129,0.1191866527632951
"('VT26', '20180222-57WIooVH-VT__R6F15_RN1RP2')",8000,58434,0.1204202667308908
"('VT21', '20180222-57WIooVH-VT__R6F15_RN1RP2')",7998,59932,0.11773884881495657
"('VT25', '20180222-57OOooVH-VT__R7F3_RN1RP1')",7975,58887,0.11927552271843499
"('VT31', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",7955,53627,0.12917735701990843
"('VT32', '20180222-57WIooVL-VT__R6F18_RN1RP2')",7939,51540,0.1334756804922746
"('VT27', '20180222-57WIooVL-VT__R6F18_RN1RP2')",7928,59601,0.11740141272638421
